month,averagePrice,averagePriceDetached,averagePriceSemiDetached,averagePriceTerraced,averagePriceFlatMaisonette,averagePriceFirstTimeBuyer,averagePriceFormerOwnerOccupier,averagePriceNewBuild,averagePriceExistingProperty,averagePriceCash,averagePriceMortgage,housePriceIndex,percentageChange,percentageAnnualChange,salesVolume,date
2004-01,121643,284604,168251,134778,104824,,,149205.0,116585.0,,,45.0,,,1097.0,2004-01-01
2004-02,120782,275960,164833,133200,104676,,,148796.0,115712.0,,,44.7,-0.7,,811.0,2004-02-01
2004-03,123480,279632,167847,136011,107208,,,151785.0,118321.0,,,45.7,2.2,,1092.0,2004-03-01
2004-04,130269,285947,176283,143826,113479,,,158626.0,124941.0,,,48.2,5.5,,1402.0,2004-04-01
2004-05,138326,300046,187137,153191,120557,,,167473.0,132740.0,,,51.1,6.2,,1345.0,2004-05-01
2004-06,143978,308006,193829,159290,125788,,,174345.0,138162.0,,,53.2,4.1,,1526.0,2004-06-01
2004-07,145906,316119,196775,161935,127163,,,176228.0,140046.0,,,53.9,1.3,,1573.0,2004-07-01
2004-08,146217,320142,197367,162290,127272,,,175925.0,140396.0,,,54.1,0.2,,1338.0,2004-08-01
2004-09,144790,319987,196394,161180,125716,,,173455.0,139083.0,,,53.5,-1.0,,1286.0,2004-09-01
2004-10,141782,312971,191614,157068,123339,,,170998.0,136106.0,,,52.4,-2.1,,1317.0,2004-10-01
2004-11,138564,306265,187911,153980,120368,,,168061.0,132946.0,,,51.2,-2.3,,1247.0,2004-11-01
2004-12,139580,306838,188865,155317,121315,,,170583.0,133823.0,,,51.6,0.7,,1199.0,2004-12-01
2005-01,141298,311597,191146,157680,122676,,,174402.0,135342.0,,,52.2,1.2,16.2,940.0,2005-01-01
2005-02,141391,310949,191241,157454,122828,,,176441.0,135303.0,,,52.3,0.1,17.1,773.0,2005-02-01
2005-03,141511,308750,190710,157297,122849,,,178222.0,135319.0,,,52.3,0.1,14.6,897.0,2005-03-01
2005-04,142176,302727,189905,157530,123634,,,180812.0,135863.0,,,52.6,0.5,9.1,1312.0,2005-04-01
2005-05,146102,307037,192994,161344,127244,,,185973.0,139606.0,,,54.0,2.8,5.6,1369.0,2005-05-01
2005-06,147943,308545,194798,163263,128911,,,187765.0,141394.0,,,54.7,1.3,2.8,1419.0,2005-06-01
2005-07,148735,311624,196498,164523,129512,,,187847.0,142200.0,,,55.0,0.5,1.9,1558.0,2005-07-01
2005-08,150528,315930,199419,166954,130987,,,189906.0,143924.0,,,55.7,1.2,2.9,1307.0,2005-08-01
2005-09,150815,320203,200777,168028,131063,,,190664.0,144178.0,,,55.8,0.2,4.2,1424.0,2005-09-01
2005-10,150516,322476,200885,167956,130719,,,190810.0,143864.0,,,55.6,-0.2,6.2,1163.0,2005-10-01
2005-11,148896,317480,198282,166287,129328,,,189656.0,142269.0,,,55.0,-1.1,7.5,1287.0,2005-11-01
2005-12,149470,313273,196477,165559,130165,,,190606.0,142806.0,,,55.3,0.4,7.1,1312.0,2005-12-01
2006-01,151810,317104,199596,168443,132175,,,193438.0,145049.0,,,56.1,1.6,7.4,1073.0,2006-01-01
2006-02,154949,320252,202855,171575,134991,,,198093.0,147950.0,,,57.3,2.1,9.6,690.0,2006-02-01
2006-03,153908,317700,202735,171401,133883,,,197527.0,146877.0,,,56.9,-0.7,8.8,1271.0,2006-03-01
2006-04,155226,314222,202922,172239,135213,,,199670.0,148085.0,,,57.4,0.9,9.2,1228.0,2006-04-01
2006-05,157535,317057,205350,174279,137322,,,201975.0,150360.0,,,58.2,1.5,7.8,1457.0,2006-05-01
2006-06,163251,324942,211352,179871,142476,,,208321.0,155925.0,,,60.4,3.6,10.3,1992.0,2006-06-01
2006-07,165774,332143,215104,183110,144588,,,210117.0,158495.0,,,61.3,1.5,11.5,1551.0,2006-07-01
2006-08,167486,341393,219506,186650,145765,,,209999.0,160391.0,,,61.9,1.0,11.3,1592.0,2006-08-01
2006-09,167649,348588,221962,187924,145636,,,209379.0,160639.0,,,62.0,0.1,11.2,1741.0,2006-09-01
2006-10,170778,354196,225524,190922,148438,,,213101.0,163658.0,,,63.1,1.9,13.5,1365.0,2006-10-01
2006-11,171115,351826,225058,190716,148857,,,213660.0,163966.0,,,63.3,0.2,14.9,1461.0,2006-11-01
2006-12,173928,352563,226653,192793,151547,,,217286.0,166648.0,,,64.3,1.6,16.4,1532.0,2006-12-01
2007-01,171962,350222,224766,191217,149728,,,215173.0,164726.0,,,63.6,-1.1,13.3,1021.0,2007-01-01
2007-02,170601,345882,221741,188805,148699,,,214439.0,163307.0,,,63.1,-0.8,10.1,696.0,2007-02-01
2007-03,170537,346088,222155,189541,148518,,,213903.0,163327.0,,,63.0,0.0,10.8,1153.0,2007-03-01
2007-04,176618,353384,228807,196051,153928,,,220299.0,169345.0,,,65.3,3.6,13.8,1201.0,2007-04-01
2007-05,184730,367856,239229,205756,160928,,,230521.0,177107.0,,,68.3,4.6,17.3,1397.0,2007-05-01
2007-06,187470,371486,241847,208219,163419,,,233803.0,179755.0,,,69.3,1.5,14.8,1884.0,2007-06-01
2007-07,190450,379508,246235,212027,165918,,,238429.0,182468.0,,,70.4,1.6,14.9,1606.0,2007-07-01
2007-08,191207,386227,248683,213672,166398,,,237435.0,183502.0,,,70.7,0.4,14.2,1752.0,2007-08-01
2007-09,195921,399776,256279,219718,170343,,,242608.0,188136.0,,,72.4,2.5,16.9,1235.0,2007-09-01
2007-10,192875,397076,252166,215941,167708,,,238373.0,185284.0,,,71.3,-1.6,12.9,1246.0,2007-10-01
2007-11,193481,394714,251579,215572,168431,,,239723.0,185769.0,,,71.5,0.3,13.1,1414.0,2007-11-01
2007-12,192249,388471,248758,213411,167509,,,239207.0,184425.0,,,71.1,-0.6,10.5,1114.0,2007-12-01
2008-01,192209,388275,249528,213827,167404,,,239304.0,184363.0,,,71.1,0.0,11.8,858.0,2008-01-01
2008-02,190220,383262,246436,211731,165968,,,239692.0,181832.0,,,70.3,-1.0,11.5,754.0,2008-02-01
2008-03,187310,378768,243897,209523,163483,,,237082.0,178795.0,,,69.2,-1.5,9.8,813.0,2008-03-01
2008-04,189475,377396,245909,211554,165697,,,241666.0,180432.0,,,70.1,1.2,7.3,991.0,2008-04-01
2008-05,191565,378361,249341,214121,167544,,,242999.0,182729.0,,,70.8,1.1,3.7,1164.0,2008-05-01
2008-06,191810,378865,250299,214822,167636,,,242606.0,183127.0,,,70.9,0.1,2.3,992.0,2008-06-01
2008-07,192796,384789,253942,217239,167965,,,241833.0,184540.0,,,71.3,0.5,1.2,875.0,2008-07-01
2008-08,188391,382468,249289,213010,163689,,,234449.0,180763.0,,,69.6,-2.3,-1.5,855.0,2008-08-01
2008-09,187116,380802,246659,210493,162810,,,232929.0,179524.0,,,69.2,-0.7,-4.5,725.0,2008-09-01
2008-10,180881,366462,236142,201999,157863,,,225647.0,173428.0,,,66.9,-3.3,-6.2,718.0,2008-10-01
2008-11,176880,354840,230492,197012,154617,,,222206.0,169226.0,,,65.4,-2.2,-8.6,553.0,2008-11-01
2008-12,171308,341265,223825,191382,149683,,,213994.0,164182.0,,,63.3,-3.2,-10.9,496.0,2008-12-01
2009-01,166748,333791,218318,186422,145588,,,208371.0,159794.0,,,61.6,-2.7,-13.2,408.0,2009-01-01
2009-02,161698,323333,211938,180699,141362,,,202584.0,154939.0,,,59.8,-3.0,-15.0,332.0,2009-02-01
2009-03,158844,319783,207793,177302,139031,,,201262.0,151820.0,,,58.7,-1.8,-15.2,436.0,2009-03-01
2009-04,159254,316286,207692,177809,139797,,,203030.0,152090.0,,,58.9,0.3,-16.0,503.0,2009-04-01
2009-05,165971,328520,216149,185651,145741,,,210911.0,158571.0,,,61.4,4.2,-13.4,605.0,2009-05-01
2009-06,172449,341468,224864,193666,151205,,,217493.0,164921.0,,,63.8,3.9,-10.1,633.0,2009-06-01
2009-07,176983,352486,231818,199734,154661,,,221208.0,169452.0,,,65.4,2.6,-8.2,757.0,2009-07-01
2009-08,178746,361660,235755,202868,155293,,,220976.0,171382.0,,,66.1,1.0,-5.1,761.0,2009-08-01
2009-09,179508,365755,238038,204439,155436,,,221587.0,172147.0,,,66.4,0.4,-4.1,691.0,2009-09-01
2009-10,182574,375559,243447,208466,157531,,,224201.0,175204.0,,,67.5,1.7,0.9,783.0,2009-10-01
2009-11,185458,380810,246803,212133,160047,,,228241.0,177921.0,,,68.6,1.6,4.8,594.0,2009-11-01
2009-12,185286,378798,247102,212682,159793,,,226470.0,177912.0,,,68.5,-0.1,8.2,818.0,2009-12-01
2010-01,183578,378202,245267,211129,157962,,,221550.0,176564.0,,,67.9,-0.9,10.1,474.0,2010-01-01
2010-02,181022,375197,243674,208732,155263,,,218169.0,174251.0,,,66.9,-1.4,12.0,352.0,2010-02-01
2010-03,181232,380775,244361,208646,155110,,,219332.0,174495.0,,,67.0,0.1,14.1,610.0,2010-03-01
2010-04,182519,379459,245317,209674,156797,,,223159.0,175597.0,,,67.5,0.7,14.6,683.0,2010-04-01
2010-05,181547,375282,242892,207965,156467,,,221193.0,174709.0,,,67.1,-0.5,9.4,652.0,2010-05-01
2010-06,185192,381938,248297,212889,159418,,,224301.0,178295.0,,,68.5,2.0,7.4,760.0,2010-06-01
2010-07,186645,388815,250975,215505,159973,,,223716.0,179835.0,,,69.0,0.8,5.5,844.0,2010-07-01
2010-08,188380,397052,254701,218455,160612,,,225008.0,181554.0,,,69.6,0.9,5.4,796.0,2010-08-01
2010-09,188069,397589,254000,217909,160328,,,225421.0,181207.0,,,69.5,-0.2,4.8,665.0,2010-09-01
2010-10,184610,390256,249845,213665,157371,,,224469.0,177683.0,,,68.3,-1.8,1.1,754.0,2010-10-01
2010-11,185748,393678,251403,214740,158314,,,226653.0,178731.0,,,68.7,0.6,0.2,592.0,2010-11-01
2010-12,184599,390980,249855,213016,157460,,,226956.0,177526.0,,,68.2,-0.6,-0.4,551.0,2010-12-01
2011-01,183526,391281,248056,211472,156449,151160.0,,226106.0,176466.0,,,67.9,-0.6,0.0,423.0,2011-01-01
